 -2.991000  0.00000100  0.00000100************  0.00000000
 -2.973000  0.00000100  0.00000100************  0.00000000
  0.861000  0.00000100  0.00000100  0.00000000  0.00000000
  0.879000  0.00000100  0.00000100  0.00000000  0.00000000
  0.897000  0.00000100  0.00000100  0.00000000  0.00000000
  0.915000  0.00000100  0.00000100  0.00000000  0.00000000
  0.933000  0.00000100  0.00000100  0.00000000  0.00000000
  0.951000  0.00000100  0.00000100  0.00000000  0.00000000
  0.969000  0.00000100  0.00000100  0.00000000  0.00000000
  0.987000  0.90000182 -0.89999807  0.00000000  0.00000000
  1.005000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.023000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.041000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.059000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.077000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.095000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.113000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.131000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.149000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.167000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.185000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.203000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.221000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.239000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.257000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.275000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.293000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.311000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.329000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.347000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.365000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.383000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.401000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.419000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.437000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.455000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.473000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.491000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.509000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.527000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.545000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.563000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.581000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.599000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.617000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.635000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.653000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.671000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.689000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.707000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.725000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.743000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.761000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.779000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.797000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.815000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.833000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.851000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.869000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.887000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.905000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.923000  1.00000000 -1.00000000  0.00000000  0.00000000
